146位のチームA pt	2,232,449 pt
※10/30(日)11:07 集計時点
116位のチームA pt	2,596,616 pt
116位のチームB pt	4,760,271 pt
116位のチームC pt	2,982,857 pt
116位のチームD pt	3,330,679 pt
116位のチームE pt	3,509,822 pt
116位のチームF pt	5,724,312 pt
116位のチームG pt	2,502,510 pt
116位のチームH pt	3,422,036 pt
116位のチームI pt	4,035,789 pt
116位のチームJ pt	3,814,132 pt
※10/30(日)11:08 集計時点
116位のチームA pt	2,596,616 pt
116位のチームB pt	4,760,371 pt
116位のチームC pt	2,982,857 pt
116位のチームD pt	3,330,780 pt
116位のチームE pt	3,509,822 pt
116位のチームF pt	5,724,312 pt
116位のチームG pt	2,502,510 pt
116位のチームH pt	3,422,036 pt
116位のチームI pt	4,035,789 pt
116位のチームJ pt	3,814,132 pt
※10/30(日) 11:08 集計時点BY SKDN
116位のチームA pt	2,596,616 pt
116位のチームB pt	4,760,371 pt
116位のチームC pt	2,982,857 pt
116位のチームD pt	3,330,780 pt
116位のチームE pt	3,509,822 pt
116位のチームF pt	5,724,312 pt
116位のチームG pt	2,502,510 pt
116位のチームH pt	3,422,036 pt
116位のチームI pt	4,035,789 pt
116位のチームJ pt	3,814,132 pt
※10/30(日)11:08 集計時点
116位のチームA pt	2,596,616 pt
116位のチームB pt	4,760,371 pt
116位のチームC pt	2,982,857 pt
116位のチームD pt	3,330,781 pt
116位のチームE pt	3,509,822 pt
116位のチームF pt	5,725,843 pt
116位のチームG pt	2,505,408 pt
116位のチームH pt	3,423,587 pt
116位のチームI pt	4,036,645 pt
116位のチームJ pt	3,814,132 pt
※10/30(日)11:09 集計時点
116位のチームA pt	2,596,616 pt
116位のチームB pt	4,760,371 pt
116位のチームC pt	2,982,857 pt
116位のチームD pt	3,332,708 pt
116位のチームE pt	3,509,822 pt
116位のチームF pt	5,725,843 pt
116位のチームG pt	2,505,408 pt
116位のチームH pt	3,423,687 pt
116位のチームI pt	4,036,645 pt
116位のチームJ pt	3,814,132 pt
※10/30(日) 11:10 集計時点BY SKDN
116位のチームA pt	2,596,616 pt
116位のチームB pt	4,760,371 pt
116位のチームC pt	2,982,857 pt
116位のチームD pt	3,332,708 pt
116位のチームE pt	3,509,822 pt
116位のチームF pt	5,725,843 pt
116位のチームG pt	2,505,408 pt
116位のチームH pt	3,423,687 pt
116位のチームI pt	4,036,645 pt
116位のチームJ pt	3,814,132 pt
※10/30(日)11:10 集計時点
116位のチームA pt	2,596,616 pt
116位のチームB pt	4,761,135 pt
116位のチームC pt	2,982,857 pt
116位のチームD pt	3,333,544 pt
116位のチームE pt	3,509,822 pt
116位のチームF pt	5,725,843 pt
116位のチームG pt	2,505,408 pt
116位のチームH pt	3,423,901 pt
116位のチームI pt	4,036,645 pt
116位のチームJ pt	3,814,132 pt
※10/30(日)11:10 集計時点
116位のチームA pt	2,596,616 pt
116位のチームB pt	4,761,135 pt
116位のチームC pt	2,982,857 pt
116位のチームD pt	3,333,875 pt
116位のチームE pt	3,509,822 pt
116位のチームF pt	5,729,252 pt
116位のチームG pt	2,505,408 pt
116位のチームH pt	3,423,901 pt
116位のチームI pt	4,036,645 pt
116位のチームJ pt	3,814,132 pt
※10/30(日) 11:10 集計時点BY SKDN
116位のチームA pt	2,596,616 pt
116位のチームB pt	4,761,135 pt
116位のチームC pt	2,982,857 pt
116位のチームD pt	3,333,875 pt
116位のチームE pt	3,509,822 pt
116位のチームF pt	5,729,252 pt
116位のチームG pt	2,505,408 pt
116位のチームH pt	3,423,901 pt
116位のチームI pt	4,036,645 pt
116位のチームJ pt	3,814,132 pt
※10/30(日)11:10 集計時点
116位のチームA pt	2,596,616 pt
116位のチームB pt	4,761,135 pt
116位のチームC pt	2,982,857 pt
116位のチームD pt	3,335,386 pt
116位のチームE pt	3,509,822 pt
116位のチームF pt	5,729,252 pt
116位のチームG pt	2,505,408 pt
116位のチームH pt	3,423,901 pt
116位のチームI pt	4,036,645 pt
116位のチームJ pt	3,814,132 pt
※10/30(日)11:11 集計時点
116位のチームA pt	2,596,616 pt
116位のチームB pt	4,761,135 pt
116位のチームC pt	2,982,857 pt
116位のチームD pt	3,335,388 pt
116位のチームE pt	3,509,822 pt
116位のチームF pt	5,729,252 pt
116位のチームG pt	2,505,408 pt
116位のチームH pt	3,423,901 pt
116位のチームI pt	4,036,645 pt
116位のチームJ pt	3,814,132 pt
※10/30(日) 11:11 集計時点BY SKDN
116位のチームA pt	2,596,616 pt
116位のチームB pt	4,761,135 pt
116位のチームC pt	2,982,857 pt
116位のチームD pt	3,335,388 pt
116位のチームE pt	3,509,822 pt
116位のチームF pt	5,729,252 pt
116位のチームG pt	2,505,408 pt
116位のチームH pt	3,423,901 pt
116位のチームI pt	4,036,645 pt
116位のチームJ pt	3,814,132 pt
※10/30(日)11:11 集計時点
116位のチームA pt	2,596,616 pt
116位のチームB pt	4,761,135 pt
116位のチームC pt	2,982,857 pt
116位のチームD pt	3,336,332 pt
116位のチームE pt	3,509,822 pt
116位のチームF pt	5,731,014 pt
116位のチームG pt	2,505,408 pt
116位のチームH pt	3,423,901 pt
116位のチームI pt	4,036,645 pt
116位のチームJ pt	3,814,832 pt
※10/30(日)11:12 集計時点
116位のチームA pt	2,596,616 pt
116位のチームB pt	4,761,135 pt
116位のチームC pt	2,982,857 pt
116位のチームD pt	3,338,065 pt
116位のチームE pt	3,509,822 pt
116位のチームF pt	5,733,020 pt
116位のチームG pt	2,505,408 pt
116位のチームH pt	3,423,901 pt
116位のチームI pt	4,036,645 pt
116位のチームJ pt	3,815,633 pt
※10/30(日) 11:12 集計時点BY SKDN
116位のチームA pt	2,596,616 pt
116位のチームB pt	4,761,135 pt
116位のチームC pt	2,982,857 pt
116位のチームD pt	3,338,065 pt
116位のチームE pt	3,509,822 pt
116位のチームF pt	5,733,020 pt
116位のチームG pt	2,505,408 pt
116位のチームH pt	3,423,901 pt
116位のチームI pt	4,036,645 pt
116位のチームJ pt	3,815,633 pt
※10/30(日)11:12 集計時点
116位のチームA pt	2,596,616 pt
116位のチームB pt	4,761,154 pt
116位のチームC pt	2,982,857 pt
116位のチームD pt	3,338,166 pt
116位のチームE pt	3,509,822 pt
116位のチームF pt	5,733,020 pt
116位のチームG pt	2,505,408 pt
116位のチームH pt	3,423,901 pt
116位のチームI pt	4,036,645 pt
116位のチームJ pt	3,815,905 pt
※10/30(日)11:13 集計時点
116位のチームA pt	2,596,616 pt
116位のチームB pt	4,761,154 pt
116位のチームC pt	2,982,857 pt
116位のチームD pt	3,338,168 pt
116位のチームE pt	3,509,822 pt
116位のチームF pt	5,733,020 pt
116位のチームG pt	2,505,408 pt
116位のチームH pt	3,423,901 pt
116位のチームI pt	4,036,645 pt
116位のチームJ pt	3,818,418 pt
※10/30(日) 11:13 集計時点BY SKDN
116位のチームA pt	2,596,616 pt
116位のチームB pt	4,761,154 pt
116位のチームC pt	2,982,857 pt
116位のチームD pt	3,338,168 pt
116位のチームE pt	3,509,822 pt
116位のチームF pt	5,733,020 pt
116位のチームG pt	2,505,408 pt
116位のチームH pt	3,423,901 pt
116位のチームI pt	4,036,645 pt
116位のチームJ pt	3,818,418 pt
※10/30(日)11:13 集計時点
116位のチームA pt	2,596,616 pt
116位のチームB pt	4,761,154 pt
116位のチームC pt	2,982,857 pt
116位のチームD pt	3,338,268 pt
116位のチームE pt	3,509,822 pt
116位のチームF pt	5,733,020 pt
116位のチームG pt	2,505,408 pt
116位のチームH pt	3,423,901 pt
116位のチームI pt	4,036,645 pt
116位のチームJ pt	3,818,418 pt
※10/30(日)11:14 集計時点
116位のチームA pt	2,596,616 pt
116位のチームB pt	4,762,654 pt
116位のチームC pt	2,982,857 pt
116位のチームD pt	3,338,270 pt
116位のチームE pt	3,509,822 pt
116位のチームF pt	5,733,675 pt
116位のチームG pt	2,505,408 pt
116位のチームH pt	3,423,901 pt
116位のチームI pt	4,036,645 pt
116位のチームJ pt	3,818,418 pt
※10/30(日) 11:15 集計時点BY SKDN
116位のチームA pt	2,596,616 pt
116位のチームB pt	4,762,654 pt
116位のチームC pt	2,982,857 pt
116位のチームD pt	3,338,270 pt
116位のチームE pt	3,509,822 pt
116位のチームF pt	5,733,675 pt
116位のチームG pt	2,505,408 pt
116位のチームH pt	3,423,901 pt
116位のチームI pt	4,036,645 pt
116位のチームJ pt	3,818,418 pt
※10/30(日)11:15 集計時点
116位のチームA pt	2,596,616 pt
116位のチームB pt	4,762,654 pt
116位のチームC pt	2,982,857 pt
116位のチームD pt	3,338,934 pt
116位のチームE pt	3,509,822 pt
116位のチームF pt	5,738,081 pt
116位のチームG pt	2,505,408 pt
116位のチームH pt	3,423,901 pt
116位のチームI pt	4,036,645 pt
116位のチームJ pt	3,818,418 pt
※10/30(日)11:15 集計時点
116位のチームA pt	2,596,616 pt
116位のチームB pt	4,765,154 pt
116位のチームC pt	2,982,857 pt
116位のチームD pt	3,339,035 pt
116位のチームE pt	3,509,822 pt
116位のチームF pt	5,738,081 pt
116位のチームG pt	2,505,408 pt
116位のチームH pt	3,428,436 pt
116位のチームI pt	4,036,645 pt
116位のチームJ pt	3,818,418 pt
※10/30(日) 11:15 集計時点BY SKDN
116位のチームA pt	2,596,616 pt
116位のチームB pt	4,765,154 pt
116位のチームC pt	2,982,857 pt
116位のチームD pt	3,339,035 pt
116位のチームE pt	3,509,822 pt
116位のチームF pt	5,738,081 pt
116位のチームG pt	2,505,408 pt
116位のチームH pt	3,428,436 pt
116位のチームI pt	4,036,645 pt
116位のチームJ pt	3,818,418 pt
※10/30(日)11:15 集計時点
116位のチームA pt	2,596,616 pt
116位のチームB pt	4,765,154 pt
116位のチームC pt	2,982,857 pt
116位のチームD pt	3,339,136 pt
116位のチームE pt	3,509,822 pt
116位のチームF pt	5,738,081 pt
116位のチームG pt	2,505,408 pt
116位のチームH pt	3,430,150 pt
116位のチームI pt	4,036,645 pt
116位のチームJ pt	3,818,418 pt
※10/30(日)11:16 集計時点
116位のチームA pt	2,596,616 pt
116位のチームB pt	4,765,256 pt
116位のチームC pt	2,982,857 pt
116位のチームD pt	3,340,088 pt
116位のチームE pt	3,509,822 pt
116位のチームF pt	5,738,081 pt
116位のチームG pt	2,505,408 pt
116位のチームH pt	3,433,320 pt
116位のチームI pt	4,036,645 pt
116位のチームJ pt	3,818,418 pt
※10/30(日) 11:16 集計時点BY SKDN
116位のチームA pt	2,596,616 pt
116位のチームB pt	4,765,256 pt
116位のチームC pt	2,982,857 pt
116位のチームD pt	3,340,088 pt
116位のチームE pt	3,509,822 pt
116位のチームF pt	5,738,081 pt
116位のチームG pt	2,505,408 pt
116位のチームH pt	3,433,320 pt
116位のチームI pt	4,036,645 pt
116位のチームJ pt	3,818,418 pt
※10/30(日)11:16 集計時点
116位のチームA pt	2,596,616 pt
116位のチームB pt	4,765,256 pt
116位のチームC pt	2,982,857 pt
116位のチームD pt	3,340,088 pt
116位のチームE pt	3,509,822 pt
116位のチームF pt	5,746,273 pt
116位のチームG pt	2,505,408 pt
116位のチームH pt	3,433,421 pt
116位のチームI pt	4,036,645 pt
116位のチームJ pt	3,818,418 pt
※10/30(日)11:17 集計時点
116位のチームA pt	2,596,616 pt
116位のチームB pt	4,767,333 pt
116位のチームC pt	2,982,857 pt
116位のチームD pt	3,341,319 pt
116位のチームE pt	3,509,822 pt
116位のチームF pt	5,746,570 pt
116位のチームG pt	2,505,408 pt
116位のチームH pt	3,437,916 pt
116位のチームI pt	4,036,645 pt
116位のチームJ pt	3,818,418 pt
※10/30(日) 11:17 集計時点BY SKDN
116位のチームA pt	2,596,616 pt
116位のチームB pt	4,767,333 pt
116位のチームC pt	2,982,857 pt
116位のチームD pt	3,341,319 pt
116位のチームE pt	3,509,822 pt
116位のチームF pt	5,746,570 pt
116位のチームG pt	2,505,408 pt
116位のチームH pt	3,437,916 pt
116位のチームI pt	4,036,645 pt
116位のチームJ pt	3,818,418 pt
※10/30(日)11:17 集計時点
116位のチームA pt	2,596,616 pt
116位のチームB pt	4,770,440 pt
116位のチームC pt	2,982,857 pt
116位のチームD pt	3,341,320 pt
116位のチームE pt	3,509,822 pt
116位のチームF pt	5,746,570 pt
116位のチームG pt	2,505,408 pt
116位のチームH pt	3,438,017 pt
116位のチームI pt	4,036,645 pt
116位のチームJ pt	3,818,418 pt
※10/30(日)11:18 集計時点
116位のチームA pt	2,596,616 pt
116位のチームB pt	4,770,440 pt
116位のチームC pt	2,982,857 pt
116位のチームD pt	3,341,321 pt
116位のチームE pt	3,509,822 pt
116位のチームF pt	5,746,570 pt
116位のチームG pt	2,505,408 pt
116位のチームH pt	3,438,018 pt
116位のチームI pt	4,036,645 pt
116位のチームJ pt	3,818,418 pt
※10/30(日) 11:18 集計時点BY SKDN
116位のチームA pt	2,596,616 pt
116位のチームB pt	4,770,440 pt
116位のチームC pt	2,982,857 pt
116位のチームD pt	3,341,321 pt
116位のチームE pt	3,509,822 pt
116位のチームF pt	5,746,570 pt
116位のチームG pt	2,505,408 pt
116位のチームH pt	3,438,018 pt
116位のチームI pt	4,036,645 pt
116位のチームJ pt	3,818,418 pt
※10/30(日)11:18 集計時点
116位のチームA pt	2,596,616 pt
116位のチームB pt	4,772,856 pt
116位のチームC pt	2,982,857 pt
116位のチームD pt	3,342,848 pt
116位のチームE pt	3,509,822 pt
116位のチームF pt	5,746,570 pt
116位のチームG pt	2,505,408 pt
116位のチームH pt	3,438,321 pt
116位のチームI pt	4,036,645 pt
116位のチームJ pt	3,818,418 pt
※10/30(日)11:19 集計時点
116位のチームA pt	2,596,616 pt
116位のチームB pt	4,772,856 pt
116位のチームC pt	2,982,857 pt
116位のチームD pt	3,343,185 pt
116位のチームE pt	3,509,822 pt
116位のチームF pt	5,752,835 pt
116位のチームG pt	2,505,408 pt
116位のチームH pt	3,441,159 pt
116位のチームI pt	4,036,645 pt
116位のチームJ pt	3,818,418 pt
※10/30(日) 11:20 集計時点BY SKDN
116位のチームA pt	2,596,616 pt
116位のチームB pt	4,772,856 pt
116位のチームC pt	2,982,857 pt
116位のチームD pt	3,343,185 pt
116位のチームE pt	3,509,822 pt
116位のチームF pt	5,752,835 pt
116位のチームG pt	2,505,408 pt
116位のチームH pt	3,441,159 pt
116位のチームI pt	4,036,645 pt
116位のチームJ pt	3,818,418 pt
※10/30(日)11:20 集計時点
116位のチームA pt	2,596,616 pt
116位のチームB pt	4,773,244 pt
116位のチームC pt	2,982,857 pt
116位のチームD pt	3,343,185 pt
116位のチームE pt	3,509,822 pt
116位のチームF pt	5,752,835 pt
116位のチームG pt	2,505,408 pt
116位のチームH pt	3,441,160 pt
116位のチームI pt	4,036,645 pt
116位のチームJ pt	3,818,418 pt
※10/30(日)11:20 集計時点
116位のチームA pt	2,596,616 pt
116位のチームB pt	4,773,344 pt
116位のチームC pt	2,982,857 pt
116位のチームD pt	3,345,846 pt
116位のチームE pt	3,509,822 pt
116位のチームF pt	5,752,835 pt
116位のチームG pt	2,506,533 pt
116位のチームH pt	3,442,144 pt
116位のチームI pt	4,036,645 pt
116位のチームJ pt	3,818,418 pt
※10/30(日) 11:20 集計時点BY SKDN
116位のチームA pt	2,596,616 pt
116位のチームB pt	4,773,344 pt
116位のチームC pt	2,982,857 pt
116位のチームD pt	3,345,846 pt
116位のチームE pt	3,509,822 pt
116位のチームF pt	5,752,835 pt
116位のチームG pt	2,506,533 pt
116位のチームH pt	3,442,144 pt
116位のチームI pt	4,036,645 pt
116位のチームJ pt	3,818,418 pt
※10/30(日)11:20 集計時点
117位のチームA pt	2,549,240 pt
117位のチームB pt	4,772,856 pt
117位のチームC pt	2,966,672 pt
117位のチームD pt	3,344,502 pt
117位のチームE pt	3,488,697 pt
117位のチームF pt	5,753,307 pt
117位のチームG pt	2,505,408 pt
117位のチームH pt	3,423,901 pt
117位のチームI pt	4,035,789 pt
117位のチームJ pt	3,818,095 pt
※10/30(日)11:21 集計時点
117位のチームA pt	2,549,240 pt
117位のチームB pt	4,772,856 pt
117位のチームC pt	2,966,672 pt
117位のチームD pt	3,345,848 pt
117位のチームE pt	3,488,697 pt
117位のチームF pt	5,758,492 pt
117位のチームG pt	2,505,408 pt
117位のチームH pt	3,423,901 pt
117位のチームI pt	4,035,789 pt
117位のチームJ pt	3,818,095 pt
※10/30(日) 11:21 集計時点BY SKDN
117位のチームA pt	2,549,240 pt
117位のチームB pt	4,772,856 pt
117位のチームC pt	2,966,672 pt
117位のチームD pt	3,345,848 pt
117位のチームE pt	3,488,697 pt
117位のチームF pt	5,758,492 pt
117位のチームG pt	2,505,408 pt
117位のチームH pt	3,423,901 pt
117位のチームI pt	4,035,789 pt
117位のチームJ pt	3,818,095 pt
※10/30(日)11:21 集計時点
117位のチームA pt	2,549,241 pt
117位のチームB pt	4,772,856 pt
117位のチームC pt	2,966,672 pt
117位のチームD pt	3,345,949 pt
117位のチームE pt	3,488,697 pt
117位のチームF pt	5,761,784 pt
117位のチームG pt	2,505,408 pt
117位のチームH pt	3,427,311 pt
117位のチームI pt	4,035,789 pt
117位のチームJ pt	3,818,095 pt
※10/30(日)11:22 集計時点
117位のチームA pt	2,549,241 pt
117位のチームB pt	4,772,856 pt
117位のチームC pt	2,966,672 pt
117位のチームD pt	3,345,950 pt
117位のチームE pt	3,488,697 pt
117位のチームF pt	5,761,784 pt
117位のチームG pt	2,505,408 pt
117位のチームH pt	3,429,027 pt
117位のチームI pt	4,035,789 pt
117位のチームJ pt	3,818,095 pt
